sub_id,turf_id,coop,state,species,common_name_spanish,scientific_name,common_name_english,aphia_id
3_1,MX_C_003,S.C.P.P. BARRA DE ZACAPULCO,CH,CAMARON BLANCO (Penaeus vannamei),CAMARON BLANCO,Penaeus vannamei,Pacific White Shrimp,1809212
3_1,MX_C_003,S.C.P.P. BARRA DE ZACAPULCO,CH,CAMARON AZUL (Litopenaeus stylirostris),CAMARON AZUL,Litopenaeus stylirostris,Blue Shrimp,1809211
3_1,MX_C_003,S.C.P.P. BARRA DE ZACAPULCO,CH,ESCAMA GENERAL,ESCAMA GENERAL,NA,NA,NA
2_1,MX_C_002,S.C.P.P. EL REMOLINO,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
40_1,MX_C_040,S.C.P.P. PUNTA DE ZANATE,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
54_1,MX_C_054,S.C.P.P. PESCADORES DE HUIZACHAL,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
52_1,MX_C_052,S.C.P.P. ACUACULTURA TECNICA DE PIJIJIAPAN,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
51_1,MX_C_051,S.C.P.P. EFRAIN VAZQUEZ RAMOS,CH,CAMARON CAFE (Penaeus aztecus),CAMARON CAFE,Penaeus aztecus,Brown Shrimp,1809216
51_1,MX_C_051,S.C.P.P. EFRAIN VAZQUEZ RAMOS,CH,CAMARON BLANCO (Penaeus vannamei),CAMARON BLANCO,Penaeus vannamei,Pacific White Shrimp,1809212
51_1,MX_C_051,S.C.P.P. EFRAIN VAZQUEZ RAMOS,CH,CAMARON AZUL (Litopenaeus stylirostris),CAMARON AZUL,Litopenaeus stylirostris,Blue Shrimp,1809211
51_1,MX_C_051,S.C.P.P. EFRAIN VAZQUEZ RAMOS,CH,ESCAMA ESTUARINA,ESCAMA ESTUARINA,NA,NA,NA
